head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
John Denver,occupation,singer-songwriter,1,Q105460,P106,Q488205,What is the relationship between 'John Denver' and 'singer-songwriter'?,1. John Denver [occupation] singer-songwriter; 2. John Denver [genre] singer-songwriter; 3. John Denver [influenced by] singer-songwriter; 4. John Denver [founded by] singer-songwriter.,"['occupation', 'genre', 'influenced by', 'founded by']",occupation,"['True. Reason: John Denver was a well-known singer-songwriter, so it is common knowledge that his occupation was indeed a singer-songwriter.', 'True. Reason: John Denver is indeed a singer-songwriter known for his folk and country music.', 'True. Reason: John Denver was a famous singer-songwriter known for his folk and country music, so it is reasonable to say that he was influenced by other singer-songwriters.', 'False. Reason: John Denver was a singer-songwriter himself, rather than being founded by another singer-songwriter.']"
Nelly Furtado,country of citizenship,Russia,0,Q80424,P27,Q159,What is the relationship between 'Nelly Furtado' and 'Russia'?,"1. Nelly Furtado [countries of citizenship] Russia; 
2. Nelly Furtado [performed in] Russia; 
3. Nelly Furtado [visited] Russia; 
4. Relationship is ambiguous.","['countries of citizenship', 'performed in', 'visited', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Nelly Furtado is a Canadian singer-songwriter and has no known connection to Russia in terms of citizenship.', 'True. Reason: Nelly Furtado is a singer and performer who has held concerts in various countries, including Russia.', 'False. Reason: Nelly Furtado, a Canadian singer, may have visited Russia at some point in her career, but the relationship between Nelly Furtado and visiting Russia is not a common or widely known fact that can be assumed to be true based on common knowledge.', 'relationship is ambiguous']"
William S. Burroughs,educated at,University of Chicago,0,Q188176,P69,Q131252,What is the relationship between 'William S. Burroughs' and 'University of Chicago'?,1. William S. Burroughs [educated at] University of Chicago; 2. William S. Burroughs [influenced by] University of Chicago; 3. William S. Burroughs [residence] University of Chicago; 4. William S. Burroughs [location of formation] University of Chicago; 5. William S. Burroughs [named after] University of Chicago; 6. William S. Burroughs [founded by] University of Chicago; 7. William S. Burroughs [practiced by] University of Chicago;,"['educated at', 'influenced by', 'residence', 'location of formation', 'named after', 'founded by', 'practiced by']",relationship is ambiguous,"['True. Reason: William S. Burroughs did attend the University of Chicago, where he studied English, anthropology, and other subjects.', 'False. Reason: William S. Burroughs was an American writer and University of Chicago is an educational institution. It does not make sense for an individual to be influenced by a university.', 'False. Reason: William S. Burroughs was not known to have any formal association with the University of Chicago, so it is unlikely that he resided there.', 'False. Reason: William S. Burroughs, the American writer and artist, was not formed or established at the University of Chicago. He did not have any direct affiliation with the university in terms of formation or establishment.', 'False. Reason: William S. Burroughs was not named after the University of Chicago. The ""named after"" relationship typically indicates that one entity is named in honor of or based on another entity, which is not the case here. William S. Burroughs and the University of Chicago are two distinct entities with no direct naming relationship between them.', 'False. Reason: William S. Burroughs was not founded by the University of Chicago. This relationship does not make sense as individuals are not typically ""founded"" by universities.', 'False. Reason: William S. Burroughs was an American writer and not known to have any association with the University of Chicago in terms of practicing or teaching there.']"
Julie Delpy,field of work,musical composition,1,Q110462,P101,Q207628,What is the relationship between 'Julie Delpy' and 'musical composition'?,Relationship is ambiguous.,['relationship is ambiguous'],field of work,['relationship is ambiguous']
Nigeria,part of,East Africa,0,Q1033,P361,Q27407,What is the relationship between 'Nigeria' and 'East Africa'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Lisa Lopes,residence,Beverly Hills,0,Q233541,P551,Q127856,What is the relationship between 'Lisa Lopes' and 'Beverly Hills'?,"1. Lisa Lopes [residence] Beverly Hills; 
2. Lisa Lopes [place of death] Beverly Hills; 
3. Lisa Lopes [visited] Beverly Hills; 
4. Lisa Lopes [narrative location] Beverly Hills; 
5. Lisa Lopes [location of formation] Beverly Hills; 
6. Relationship is ambiguous.","['residence', 'place of death', 'visited', 'narrative location', 'location of formation', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Lisa Lopes, a member of the music group TLC, is known to have been born in Philadelphia, Pennsylvania, and later lived primarily in Atlanta, Georgia. There is no common knowledge or evidence to suggest that she resided in Beverly Hills.', 'True. Reason: Lisa Lopes, a member of the musical group TLC, tragically passed away in a car accident in La Ceiba, Honduras on April 25, 2002. Therefore, the statement that her place of death was Beverly Hills is false.', 'False. Reason: Lisa Lopes was a member of the music group TLC, and there is no common knowledge or information suggesting that she visited Beverly Hills.', 'False. Reason: Lisa Lopes, a member of the music group TLC, is not commonly associated with being a narrative location. Beverly Hills is a location, not a narrative element.', 'False. Reason: Lisa Lopes is a singer and a member of the group TLC, which was formed in Atlanta, Georgia, not Beverly Hills.', 'relationship is ambiguous']"
Heinrich Böll,occupation,author,1,Q42747,P106,Q482980,What is the relationship between 'Heinrich Böll' and 'author'?,1. Heinrich Böll [occupation] author,['occupation'],occupation,"['True. Reason: Heinrich Böll was a German writer and won the Nobel Prize in Literature in 1972. Therefore, he can be considered an author.']"
Carl Djerassi,religion,Islam,0,Q78608,P140,Q432,What is the relationship between 'Carl Djerassi' and 'Islam'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Wilhelm Ostwald,occupation,university teacher,1,Q12658,P106,Q1622272,What is the relationship between 'Wilhelm Ostwald' and 'university teacher'?,1. Wilhelm Ostwald [occupation] university teacher,['occupation'],occupation,"['True. Reason: Wilhelm Ostwald was a chemist, philosopher, and teacher at universities, so it is true that he was a university teacher.']"
Natasha Shneider,country of citizenship,Austria,0,Q432421,P27,Q40,What is the relationship between 'Natasha Shneider' and 'Austria'?,"1. Natasha Shneider [Residence] Austria; 
2. Natasha Shneider [Place of Birth] Austria; 
3. Natasha Shneider [Occupation] Austria; 
4. Natasha Shneider [Unmarried Partner] Austria; 
5. Natasha Shneider [Genre] Austria;","['residence', 'place of birth', 'occupation', 'unmarried partner', 'genre']",relationship is ambiguous,"['False. Reason: Natasha Shneider was born in Russia and was primarily based in the United States throughout her music career. There is no known connection between her and Austria in terms of residence.', 'True. Reason: Natasha Shneider was born in Russia, not Austria.', 'False. Reason: An occupation relationship between a person (Natasha Shneider) and a country (Austria) does not make logical sense. Occupations are typically related to professions or jobs held by individuals, not countries.', 'False. Reason: Natasha Shneider was in fact a Russian musician and actress, not a person who would be commonly known to be the unmarried partner of a country like Austria, which is a sovereign state.', ""False. Reason: Natasha Shneider was a Russian-American musician and songwriter, not from Austria. The relationship between Natasha Shneider and Austria based on the 'genre' does not make sense in this context.""]"
Yoram Kaniuk,occupation,journalist,1,Q722202,P106,Q1930187,What is the relationship between 'Yoram Kaniuk' and 'journalist'?,1. Yoram Kaniuk [occupation] journalist,['occupation'],occupation,"['True. Reason: Yoram Kaniuk was an Israeli writer, critic, and essayist, but he was also known to have worked as a journalist throughout his career.']"
A&M Records,country,France,0,Q277626,P17,Q142,What is the relationship between 'A&M Records' and 'France'?,"1. A&M Records [headquarters location] France; 
2. A&M Records [record label] France;","['headquarters location', 'record label']",relationship is ambiguous,"['False. Reason: A&M Records is a music recording label based in the United States, not in France. France is not the headquarters location for A&M Records.', 'False. Reason: A&M Records is an American record label, not a French record label.']"
Augustine of Hippo,occupation,essayist,0,Q8018,P106,Q11774202,What is the relationship between 'Augustine of Hippo' and 'essayist'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Pavel Jozef Šafárik,country of citizenship,Austrian Empire,1,Q158354,P27,Q131964,What is the relationship between 'Pavel Jozef Šafárik' and 'Austrian Empire'?,"1. Pavel Jozef Šafárik [educated at] Austrian Empire;
2. Pavel Jozef Šafárik [place of birth] Austrian Empire;
3. Pavel Jozef Šafárik [residence] Austrian Empire.","['educated at', 'place of birth', 'residence']",country of citizenship,"['False. Reason: Pavel Jozef Šafárik was a Slovak writer, poet, and linguist, who was born in the Austrian Empire (in modern-day Slovakia) and was educated at the University of Halle in Germany and the University of Jena in modern-day Germany.', 'True. Reason: Pavel Jozef Šafárik was born in the Austrian Empire (modern-day Slovakia) in 1795.', 'True. Reason: Pavel Jozef Šafárik was born in the Kingdom of Hungary, which was part of the Austrian Empire during his lifetime. It is common for individuals to reside in the country where they were born.']"
Adam Lambert,genre,new wave,0,Q190231,P136,Q187760,What is the relationship between 'Adam Lambert' and 'new wave'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Walter Benjamin,occupation,writer,1,Q61078,P106,Q36180,What is the relationship between 'Walter Benjamin' and 'writer'?,1. Walter Benjamin [occupation] writer; 2. Walter Benjamin [influenced by] writer; 3. Walter Benjamin [notable works] writer; 4. Walter Benjamin [educated at] writer; 5. Walter Benjamin [practiced by] writer; 6. Walter Benjamin [genre] writer; 7. Walter Benjamin [founded by] writer; 8. Walter Benjamin [cast member] writer; 9. Walter Benjamin [field of work] writer; 10. Walter Benjamin [movement] writer.,"['occupation', 'influenced by', 'notable works', 'educated at', 'practiced by', 'genre', 'founded by', 'cast member', 'field of work', 'movement']",occupation,"['True. Reason: Walter Benjamin was a German philosopher, cultural critic, and essayist, whose work is often associated with literary theory and criticism. Therefore, it is common knowledge that he was a writer.', 'True. Reason: Walter Benjamin was a German philosopher, cultural critic, and essayist who was influenced by various writers such as Franz Kafka and Karl Marx.', 'True. Reason: Walter Benjamin is indeed a writer known for his notable works such as ""The Work of Art in the Age of Mechanical Reproduction"" and ""Theses on the Philosophy of History"".', 'False. Reason: Walter Benjamin was a German Jewish philosopher, cultural critic, and essayist, not a writer in the conventional sense. He was known for his works in the fields of cultural history and literary theory, but he was not primarily known as a writer of fictional or creative works.', 'False. Reason: Walter Benjamin was not a writer but rather a philosopher and cultural critic.', 'False. Reason: Walter Benjamin was a cultural critic, philosopher, and essayist, not specifically a writer of fiction or literature genres.', 'False. Reason: Walter Benjamin was a German Jewish philosopher, cultural critic, and essayist, not a writer who founded anything.', 'False. Reason: Walter Benjamin was not a cast member, but a writer, philosopher, and cultural critic known for his influential writings on art, culture, and literature.', 'True. Reason: Walter Benjamin was a German philosopher, cultural critic, and essayist who was also known for his literary works, thus it is reasonable to say that his field of work included writing.', 'False. Reason: Walter Benjamin was a German philosopher, cultural critic, and essayist, not a writer in terms of being a novelist or author of literary works.']"
Yoko Ono,spouse,Sarah McLachlan,0,Q117012,P26,Q224650,What is the relationship between 'Yoko Ono' and 'Sarah McLachlan'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Jean Renoir,occupation,film director,1,Q50713,P106,Q2526255,What is the relationship between 'Jean Renoir' and 'film director'?,1. Jean Renoir [occupation] film director; 2. Jean Renoir [influenced by] film director; 3. Jean Renoir [educated at] film director; 4. Jean Renoir [field of work] film director,"['occupation', 'influenced by', 'educated at', 'field of work']",occupation,"['True. Reason: Jean Renoir was a renowned French film director, known for his significant contributions to the film industry.', 'True. Reason: Jean Renoir was a French film director and a key figure in French cinema. He was influenced by other filmmakers such as his father, Pierre-Auguste Renoir, who was a famous painter, as well as filmmakers like D.W. Griffith and Erich von Stroheim.', 'True. Reason: Jean Renoir, being a renowned film director, is likely to have received education and training in the field of filmmaking, which suggests that he was educated at a film school or institution specializing in cinema.', 'True. Reason: Jean Renoir is well known as a film director, so the relationship between Jean Renoir and the field of work as a film director is true based on common knowledge.']"
Johann Christian Poggendorff,member of,Bavarian Academy of Sciences and Humanities,1,Q61197,P463,Q684415,What is the relationship between 'Johann Christian Poggendorff' and 'Bavarian Academy of Sciences and Humanities'?,1. Johann Christian Poggendorff [member of] Bavarian Academy of Sciences and Humanities.,['member of'],member of,['True. Reason: Johann Christian Poggendorff was indeed a member of the Bavarian Academy of Sciences and Humanities.']
Mikhail Zadornov,"languages spoken, written, or signed",Russian,1,Q2622688,P1412,Q7737,What is the relationship between 'Mikhail Zadornov' and 'Russian'?,"1. Mikhail Zadornov [citizen or nationality] Russian;
2. Mikhail Zadornov [educated at] Russian institution;
3. Mikhail Zadornov [place of birth] Russian territory;
4. Mikhail Zadornov [influenced by] Russian culture;
5. Mikhail Zadornov [ethnic group] Russian;
6. Mikhail Zadornov [residence] in Russia.","['citizen or nationality', 'educated at', 'place of birth', 'influenced by', 'ethnic group', 'residence']","languages spoken, written, or signed","['True. Reason: Mikhail Zadornov was a Russian comedian, writer, and performer, therefore it is true that he was a citizen of Russia.', 'False. Reason: Mikhail Zadornov, a Russian comedian and writer, was born and educated in Latvia. It is incorrect to say that he was educated in Russia.', 'True. Reason: Mikhail Zadornov, a Russian comedian and writer, was indeed born in Russia.', 'False. Reason: Mikhail Zadornov was a Latvian-Russian comedian and writer, not an entity that can be influenced by the country of Russia.', 'True. Reason: Mikhail Zadornov was a Russian comedian and writer, so it is true that he belonged to the ethnic group Russian.', 'False. Reason: Mikhail Zadornov is a Russian comedian and writer, but specifying ""Russian"" as his residence does not make sense as it is a nationality, not a place of residence.']"
Jordin Sparks,unmarried partner,Nick Jonas,0,Q215300,P451,Q201656,What is the relationship between 'Jordin Sparks' and 'Nick Jonas'?,"1. Jordin Sparks [cast member] Nick Jonas; 
2. Jordin Sparks [acquaintance] Nick Jonas; 
3. Jordin Sparks [colleague] Nick Jonas; 
4. Jordin Sparks [entertainer toured with] Nick Jonas; 
5. Jordin Sparks [part of music group with] Nick Jonas;","['cast member', 'acquaintance', 'colleague', 'entertainer toured with', 'part of music group with']",relationship is ambiguous,"['False. Reason: Jordin Sparks and Nick Jonas have never been cast members together in any known TV show, movie, or theatrical production.', 'False. Reason: Jordin Sparks and Nick Jonas are both successful musicians who have worked in the music industry, but there is no widely known evidence or public information suggesting that they are acquaintances or have a personal relationship outside of their professional careers.', 'False. Reason: Jordin Sparks is a singer and actress known for winning American Idol, while Nick Jonas is a singer and actor known for being a part of the Jonas Brothers band. Although they both come from the music industry, there is no direct professional relationship between Jordin Sparks and Nick Jonas that would classify them as colleagues.', 'False. Reason: Jordin Sparks is an American singer, songwriter, and actress known for winning the sixth season of American Idol, while Nick Jonas is a member of the Jonas Brothers band. There is no known direct collaboration or tour between Jordin Sparks and Nick Jonas in the entertainment industry, so the statement is false based on common knowledge.', 'False. Reason: Jordin Sparks and Nick Jonas have not been part of the same music group. Jordin Sparks is known for her solo music career and Nick Jonas is known for being part of the Jonas Brothers band.']"
Suriname,diplomatic relation,Guyana,1,Q730,P530,Q734,What is the relationship between 'Suriname' and 'Guyana'?,"1. Suriname [country] Guyana;
2. Suriname [neighbouring country] Guyana;
3. Suriname [continent] Guyana;
4. Suriname [former colony of] Guyana;
5. Suriname [shared border] Guyana;","['country', 'neighbouring country', 'continent', 'former colony of', 'shared border']",diplomatic relation,"['True. Reason: Suriname and Guyana are neighboring countries in South America, hence they share a border, which signifies that Suriname is indeed a country adjacent to Guyana.', 'True. Reason: Suriname and Guyana are neighboring countries in South America, sharing a border.', 'True. Reason: Both Suriname and Guyana are countries located in South America, so it is true that they belong to the same continent.', 'False. Reason: Suriname and Guyana were both European colonies but of different colonial powers (Suriname was a Dutch colony while Guyana was a British colony).', 'True. Reason: It is true that Suriname shares a border with Guyana in South America.']"
Tamer Hosny,occupation,entrepreneur,1,Q1391164,P106,Q131524,What is the relationship between 'Tamer Hosny' and 'entrepreneur'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Michail Sholokhov,member of political party,Communist Party of the Soviet Union,1,Q42398,P102,Q79854,What is the relationship between 'Michail Sholokhov' and 'Communist Party of the Soviet Union'?,1. Michail Sholokhov [member of] Communist Party of the Soviet Union; 2. Michail Sholokhov [influenced by] Communist Party of the Soviet Union; 3. Michail Sholokhov [educated at] Communist Party of the Soviet Union; 4. Michail Sholokhov [practiced by] Communist Party of the Soviet Union; 5. Michail Sholokhov [member of political party] Communist Party of the Soviet Union; 6. Michail Sholokhov [residence] Communist Party of the Soviet Union.,"['member of', 'influenced by', 'educated at', 'practiced by', 'member of political party', 'residence']",member of political party,"['True. Reason: Michail Sholokhov was indeed a member of the Communist Party of the Soviet Union.', 'True. Reason: Mikhail Sholokhov was a Soviet writer and a member of the Communist Party of the Soviet Union. His works often reflected the ideologies and values promoted by the party, indicating that he was indeed influenced by the Communist Party of the Soviet Union.', 'False. Reason: Michail Sholokhov was a Soviet writer, known for his novel ""And Quiet Flows the Don,"" but he was not educated at the Communist Party of the Soviet Union. The Communist Party was a political organization, not an educational institution.', 'False. Reason: Michail Sholokhov was a Soviet writer and a member of the Communist Party of the Soviet Union, so the correct relationship should be ""\'Michail Sholokhov\' [member of] \'Communist Party of the Soviet Union\'"".', 'True. Reason: Michail Sholokhov was a prominent Soviet writer and a member of the Communist Party of the Soviet Union.', 'False. Reason: Michail Sholokhov was a Soviet writer and member of the Communist Party of the Soviet Union, so it is likely that he resided in areas associated with the party.']"
Marshall Islands,member of,Asian Development Bank,1,Q709,P463,Q188822,What is the relationship between 'Marshall Islands' and 'Asian Development Bank'?,1. Marshall Islands [member of] Asian Development Bank.,['member of'],member of,"['False. Reason: The Marshall Islands is not a member of the Asian Development Bank. The Asian Development Bank is a regional development bank for Asian countries, while the Marshall Islands is a country in the Pacific region and is not part of Asia.']"
Mick Ronson,place of death,Los Angeles,0,Q361677,P20,Q65,What is the relationship between 'Mick Ronson' and 'Los Angeles'?,"1. Mick Ronson [residence] Los Angeles;
2. Mick Ronson [place of death] Los Angeles;","['residence', 'place of death']",relationship is ambiguous,"['False. Reason: Mick Ronson, a British musician and songwriter, is primarily associated with his hometown of Hull in England, rather than Los Angeles, where he did not have a significant residency.', 'False. Reason: Mick Ronson passed away in London, not in Los Angeles.']"
Ernst Mach,employer,Leipzig University,0,Q93996,P108,Q154804,What is the relationship between 'Ernst Mach' and 'Leipzig University'?,"1. Ernst Mach [educated at] Leipzig University; 
2. Ernst Mach [influenced by] Leipzig University; 
3. Ernst Mach [worked at] Leipzig University; 
4. Ernst Mach [taught at] Leipzig University; 
5. Ernst Mach [academic advisor of] Leipzig University.","['educated at', 'influenced by', 'worked at', 'taught at', 'academic advisor of']",relationship is ambiguous,"['False. Reason: Ernst Mach was educated at the University of Vienna, not Leipzig University.', 'False. Reason: Ernst Mach was a physicist and philosopher who developed the Mach number and made significant contributions to the field of physics. He could have been influenced by individuals or institutions associated with physics or philosophy, but not specifically by Leipzig University.', 'False. Reason: Ernst Mach did not work at Leipzig University. He was a professor of physics at the Charles University in Prague.', 'True. Reason: Ernst Mach was a professor of physics at Leipzig University from 1864 to 1867.', 'False. Reason: Ernst Mach was not an academic advisor of Leipzig University. Mach was a physicist and philosopher known for his work in the field of physics, particularly in the study of shock waves. He did not have any known direct academic advisor relationship with Leipzig University.']"
Dennis Gabor,field of work,physics,1,Q155786,P101,Q413,What is the relationship between 'Dennis Gabor' and 'physics'?,1. Dennis Gabor [field of work] physics; 2. Dennis Gabor [influenced by] physics; 3. Dennis Gabor [educated at] physics,"['field of work', 'influenced by', 'educated at']",field of work,"['True. Reason: Dennis Gabor was a Hungarian-British physicist known for his invention of holography. His field of work was indeed physics.', 'True. Reason: Dennis Gabor, a Hungarian-British physicist, was a prominent figure in the field of physics and his work in inventing holography has influenced the field of physics significantly.', 'False. Reason: Dennis Gabor was not educated in physics; he earned his degrees in electrical engineering.']"
Liberia,member of,International Bank for Reconstruction and Development,1,Q1014,P463,Q191384,What is the relationship between 'Liberia' and 'International Bank for Reconstruction and Development'?,1. Liberia [member of] International Bank for Reconstruction and Development; 2. Liberia [country of origin] International Bank for Reconstruction and Development; 3. Liberia [part of] International Bank for Reconstruction and Development; 4. Liberia [headquarters location] International Bank for Reconstruction and Development; 5. Liberia [location of formation] International Bank for Reconstruction and Development.,"['member of', 'country of origin', 'part of', 'headquarters location', 'location of formation']",member of,"['False. Reason: Liberia is not a member of the International Bank for Reconstruction and Development (IBRD). IBRD is a part of the World Bank Group, and membership in IBRD is limited to countries that are also members of the International Monetary Fund (IMF). Liberia is not a member of the IMF, hence it is not a member of the IBRD.', 'False. Reason: The International Bank for Reconstruction and Development is a part of the World Bank Group, a multinational financial institution that provides loans to developing countries for capital programs. It is not a country of origin.', 'False. Reason: Liberia is not part of the International Bank for Reconstruction and Development. The International Bank for Reconstruction and Development is a specialized agency that provides loans and financial assistance to middle-income and creditworthy low-income countries for development projects, while Liberia is a country located in West Africa.', 'False. Reason: Liberia would not be the headquarters location of the International Bank for Reconstruction and Development. Typically, international organizations like the International Bank for Reconstruction and Development have headquarters in major cities or financial centers, rather than in specific countries.', 'False. Reason: The International Bank for Reconstruction and Development is not formed in Liberia. It is actually an international financial institution that was established in 1944 and is part of the World Bank Group, with its headquarters in Washington D.C., United States.']"
Veniamin Smekhov,country of citizenship,Soviet Union,1,Q183535,P27,Q15180,What is the relationship between 'Veniamin Smekhov' and 'Soviet Union'?,"1. Veniamin Smekhov [Citizen of] Soviet Union; 
2. Veniamin Smekhov [Place of birth] Soviet Union; 
3. Veniamin Smekhov [Nationality] Soviet Union; 
4. Veniamin Smekhov [Residence] Soviet Union; 
5. Veniamin Smekhov [Educated at] Soviet Union; 
6. Veniamin Smekhov [Influenced by] Soviet Union; 
7. Veniamin Smekhov [Member of] Soviet Union; 
8. Veniamin Smekhov [Practiced by] Soviet Union;","['citizen of', 'place of birth', 'nationality', 'residence', 'educated at', 'influenced by', 'member of', 'practiced by']",country of citizenship,"['True. Reason: Veniamin Smekhov was born on November 10, 1940, in Moscow, USSR, which later became the Soviet Union. So, it is true that Veniamin Smekhov was a citizen of the Soviet Union.', 'True. Reason: Veniamin Smekhov was born in the Soviet Union.', 'True. Reason: Veniamin Smekhov is a Russian actor who was born in the Soviet Union when it existed, so he is indeed associated with the nationality of the Soviet Union.', 'True. Reason: Veniamin Smekhov was a Soviet actor and director, so it is true that he resided in the Soviet Union at some point in his life.', 'False. Reason: Individuals can be educated at specific institutions or countries, not at entire countries themselves. Therefore, it does not make sense for Veniamin Smekhov to be educated at the Soviet Union.', 'True. Reason: Veniamin Smekhov, a Russian actor, was active during the Soviet Union era and likely influenced by the cultural, political, and social environment of that time.', 'True. Reason: Veniamin Smekhov was a well-known Soviet actor, which implies that he was a member of the Soviet Union during his lifetime.', 'False. Reason: Veniamin Smekhov is a Russian actor and director who is associated with the Soviet Union due to his nationality, but the relationship ""practiced by"" does not accurately describe his affiliation with the Soviet Union. Smekhov being a Soviet actor could be a more fitting relationship in this case.']"
Felix Klein,member of,Royal Netherlands Academy of Arts and Sciences,1,Q76641,P463,Q253439,What is the relationship between 'Felix Klein' and 'Royal Netherlands Academy of Arts and Sciences'?,"1. Felix Klein [educated at] Royal Netherlands Academy of Arts and Sciences; 
2. Felix Klein [influenced by] Royal Netherlands Academy of Arts and Sciences; 
3. Felix Klein [member of] Royal Netherlands Academy of Arts and Sciences; 
4. Felix Klein [practiced by] Royal Netherlands Academy of Arts and Sciences; 
5. Felix Klein [founded by] Royal Netherlands Academy of Arts and Sciences; 
6. Felix Klein [named after] Royal Netherlands Academy of Arts and Sciences.","['educated at', 'influenced by', 'member of', 'practiced by', 'founded by', 'named after']",member of,"['False. Reason: The Royal Netherlands Academy of Arts and Sciences is not an educational institution where Felix Klein could have been educated, but rather a learned society and research organization.', 'False. Reason: Felix Klein was a mathematician, while the Royal Netherlands Academy of Arts and Sciences is an academic institution focused on promoting science and the arts. There is no direct relationship where Felix Klein would be influenced by the Royal Netherlands Academy of Arts and Sciences in terms of his work or contributions to mathematics.', 'False. Reason: Felix Klein was a German mathematician and not a member of the Royal Netherlands Academy of Arts and Sciences, which is an organization based in the Netherlands.', 'False. Reason: Felix Klein was a German mathematician, and the Royal Netherlands Academy of Arts and Sciences is a Dutch organization. It is unlikely that Felix Klein was specifically ""practiced by"" the Royal Netherlands Academy of Arts and Sciences.', 'False. Reason: Felix Klein was a German mathematician known for his work in group theory, function theory and non-Euclidean geometry. He was not founded by the Royal Netherlands Academy of Arts and Sciences.', 'False. Reason: Felix Klein is a German mathematician known for his work in group theory, function theory, and geometry, so he is not named after the Royal Netherlands Academy of Arts and Sciences.']"
Armenia,member of,International Finance Corporation,1,Q399,P463,Q656801,What is the relationship between 'Armenia' and 'International Finance Corporation'?,"1. Armenia [member of] International Finance Corporation; 
2. Armenia [country of origin] International Finance Corporation; 
3. Armenia [part of] International Finance Corporation; 
4. Armenia [headquarters location] International Finance Corporation.","['member of', 'country of origin', 'part of', 'headquarters location']",member of,"['False. Reason: Armenia is a country and International Finance Corporation is an international financial institution. Countries cannot be a member of international financial institutions.', 'False. Reason: Armenia is a country in Eurasia, while the International Finance Corporation (IFC) is a global financial institution. The relationship ""country of origin"" does not make sense in this context.', 'False. Reason: Armenia is a country, while the International Finance Corporation (IFC) is a global financial institution. Countries cannot be part of financial institutions in the same way that individuals or organizations can be.', 'False. Reason: The International Finance Corporation (IFC) is headquartered in Washington D.C., not in Armenia.']"
Kyle Gass,occupation,singer,1,Q371403,P106,Q177220,What is the relationship between 'Kyle Gass' and 'singer'?,1. Kyle Gass [occupation] singer; 2. Kyle Gass [member of] band; 3. Kyle Gass [music genre] rock; 4. Kyle Gass [instrument] guitar; 5. Kyle Gass [occupation] musician.,"['occupation', 'member of', 'music genre', 'instrument', 'occupation']",occupation,"['True. Reason: Kyle Gass is a well-known musician who is a singer and guitarist in the comedy rock duo Tenacious D, so the relationship between Kyle Gass and the occupation of ""singer"" is true.', 'False. Reason: Kyle Gass is a musician and actor known as a member of the comedy rock duo Tenacious D, not a singer.', 'False. Reason: Kyle Gass is a musician and actor, known for being a member of the comedy rock duo Tenacious D with Jack Black. While he is a singer as part of the duo, the relationship ""Kyle Gass [[\'music genre\']] singer"" is not accurate as it implies he is solely a singer, which is not the case.', 'False. Reason: Kyle Gass is primarily known as a musician who plays the guitar and is a member of the comedy rock duo Tenacious D with Jack Black. While he sings and provides backing vocals in the band, his main role is as a guitarist rather than a singer.', 'True. Reason: Kyle Gass is a member of the comedy rock duo Tenacious D, where he is the singer as well as the guitarist.']"
Germany,diplomatic relation,Ethiopia,1,Q183,P530,Q115,What is the relationship between 'Germany' and 'Ethiopia'?,"1. Germany [country] Ethiopia; 
2. Germany [diplomatic relation] Ethiopia; 
3. Germany [influenced by] Ethiopia; 
4. Germany [trade partner] Ethiopia; 
5. Germany [foreign aid provider] Ethiopia; 
6. Germany [located in continent] Africa; 
7. Germany [part of] European Union; 
8. Germany [colonized] Ethiopia; 
9. Germany [provided aid to] Ethiopia; 
10. Germany [visited by] Ethiopian leader;","['country', 'diplomatic relation', 'influenced by', 'trade partner', 'foreign aid provider', 'located in continent', 'part of', 'colonized', 'provided aid to', 'visited by']",diplomatic relation,"['True. Reason: Germany and Ethiopia are both independent countries, so it is true that Germany is a country and Ethiopia is a country.', 'True. Reason: It is common for countries to have diplomatic relations with each other, so it is reasonable to assume that Germany and Ethiopia have diplomatic relations.', 'False. Reason: Germany is not typically influenced by Ethiopia in terms of historical or political contexts.', 'True. Reason: Germany and Ethiopia can have a trade partnership since countries often engage in trade with each other to exchange goods and services.', 'True. Reason: It is common knowledge that Germany is a significant foreign aid provider to Ethiopia and many other countries around the world.', 'False. Reason: Germany is located in Europe, while Ethiopia is located in Africa.', 'False. Reason: Germany is not part of Ethiopia. Germany is a country located in Europe, while Ethiopia is a country located in Africa.', 'False. Reason: Germany did not colonize Ethiopia. Germany did colonize some other African countries during the Scramble for Africa, but Ethiopia successfully resisted colonization and remained independent.', 'True. Reason: It is true that Germany has provided aid to Ethiopia in the form of financial assistance, development projects, and humanitarian support over the years.', 'False. Reason: Germany and Ethiopia are two different countries located in different continents, Africa and Europe respectively. There is no common historical, cultural, or geographical connection between the two countries that would support the statement that Germany has been visited by Ethiopia.']"
